uid,physical_degree_centrality,physical_clustering_coef,physical_betweenness,behavioral_degree_centrality,behavioral_clustering_coef,behavioral_betweenness,educational_degree_centrality,educational_clustering_coef,educational_betweenness,physical_degree_zscore,behavioral_degree_zscore,educational_degree_zscore,cross_layer_activity_z,degree_variance_z,degree_std_z,degree_mean_z,degree_range_z,participation_coefficient,overlapping_degree,layer_entropy,phys_edu_neighbor_overlap,peer_avg_mood,peer_avg_stress,total_neighbors
u01,0.9333333333333333,0.9074074074074074,0.22278946241030886,0.22222222222222224,0.9111111111111111,0.00101010101010101,0.022727272727272728,0.0,0.0,0.500108059711971,-0.584271266452051,-4.69557732953471,1,5.008206970153734,2.2379023593878564,-1.59324684542493,5.195685389246681,0.4181459566074951,39,0.9821914812600294,0.03571428571428571,,,32
u02,0.9,0.9344729344729344,0.0,0.24444444444444446,0.5272727272727272,0.007070707070707071,0.9545454545454546,1.0,0.0027808457497536113,0.3278486169222924,-0.43820344983903814,0.21283070048882496,2,0.11376781722034719,0.33729485205135756,0.034158622524026405,0.7660520667613305,0.5915625,80,1.4105150683857142,0.5681818181818182,,,45
u04,0.9666666666666667,0.8620689655172413,0.012370631426576299,0.2888888888888889,0.6282051282051282,0.0030303030303030303,0.9545454545454546,1.0,0.003191009604684908,0.6723675025016497,-0.14606781661301235,0.21283070048882496,2,0.11220206550626562,0.3349657676633026,0.2463767954591541,0.818435319114662,0.606859410430839,84,1.4463115066925494,0.5777777777777777,,,46
u05,0.8666666666666667,0.9846153846153847,0.0,0.2888888888888889,0.8076923076923077,0.0,0.9545454545454546,1.0,0.0018946251810388903,0.15558917413261378,-0.14606781661301235,0.21283070048882496,2,0.024786853109243712,0.15743841052692228,0.07411735266947546,0.3588985171018373,0.6023472031702485,81,1.4411527094993095,0.5454545454545454,,,44
u07,0.8666666666666667,0.9446153846153846,0.0,0.22222222222222224,0.7555555555555555,0.00101010101010101,0.9545454545454546,1.0,0.002613937994106566,0.15558917413261378,-0.584271266452051,0.21283070048882496,2,0.13178240106474848,0.3630184582975754,-0.07195046394353742,0.7971019669408759,0.5825115055884287,78,1.3891452268462232,0.5454545454545454,,,44
u08,0.8666666666666667,0.9415384615384615,0.0,0.26666666666666666,0.5757575757575758,0.00202020202020202,0.9545454545454546,1.0,0.0026169150320907108,0.15558917413261378,-0.2921356332260254,0.21283070048882496,2,0.05096945484992634,0.22576415758469354,0.02542808046513777,0.5049663337148504,0.59625,80,1.4255741644244848,0.5454545454545454,,,46
u09,0.9666666666666667,0.8620689655172413,0.01319254238729816,0.33333333333333337,0.6761904761904762,0.0,0.9545454545454546,1.0,0.003191009604684908,0.6723675025016497,0.14606781661301343,0.21283070048882496,3,0.054735857159340706,0.2339569557831968,0.3437553398678294,0.5262996858886362,0.6173607355327204,86,1.4732166204051758,0.5777777777777777,,,45
u10,0.9666666666666667,0.8669950738916257,0.018764173419379464,0.2888888888888889,0.5128205128205128,0.00202020202020202,0.9545454545454546,1.0,0.0018946251810388903,0.6723675025016497,-0.14606781661301235,0.21283070048882496,2,0.11220206550626562,0.3349657676633026,0.2463767954591541,0.818435319114662,0.606859410430839,84,1.4463115066925494,0.5777777777777777,,,45
u12,0.7333333333333333,0.9956709956709957,4.682140931157828,0.2888888888888889,0.5769230769230769,0.00202020202020202,0.9545454545454546,1.0,0.0017319971114340763,-0.5334485970261014,-0.14606781661301235,0.21283070048882496,1,0.09286720050119152,0.3047412025000747,-0.1555619043834296,0.7462792975149264,0.5923427222128521,77,1.4266496094927887,0.45454545454545453,,,45
u14,0.9,0.9572649572649573,0.21762567753683512,0.2888888888888889,0.782051282051282,0.00202020202020202,0.9545454545454546,1.0,0.0031658409748651153,0.3278486169222924,-0.14606781661301235,0.21283070048882496,2,0.040737116961490766,0.20183438002850448,0.13153716693270168,0.47391643353530477,0.6041046995835812,82,1.4433445576552084,0.5681818181818182,,,44
